alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.015000,943703,943703,30,3,0,1,1,"513;735;1213","513:0|0|0|0|0;735:0|2|0|2|0;1213:-2|0|-2|0|-2","0|2|2|0|2","193/513/637/735|1285|87|193/513/637/735|1285","193;513;616;735;5;67","513;735"
0.015000,943817,943817,30,4,0,0,0,"129;240;505;939","129:-2|0|-2|0|-2;240:-2|0|-2|0|-2;505:0|2|0|2|0;939:0|2|0|2|0","0|2|2|0|2","307/505/939/1005|955/1153|291/357|307/505/939/1005|955/1153","",""
0.015000,944029,944029,30,4,0,0,0,"521;673;1074;1183","521:0|2|0|2|0;673:0|2|0|2|0;1074:-2|0|-2|0|-2;1183:-2|0|-2|0|-2","0|2|2|0|2","495/521/673/1046|1143/1169|25/398|495/521/673/1046|1143/1169","",""
0.015000,944640,944640,30,4,0,1,1,"150;174;324;1091","150:2|0|2|0|2;174:2|0|2|0|2;324:0|-2|0|-2|0;1091:0|-2|0|-2|0","2|0|0|2|0","150/174/261/1024|56/58/69/194/246/322/408/420/481/622/798/822/909|376/704/717/778/842/1129/1273|150/174/261/1024|56/58/69/194/246/322/408/420/481/622/798/822/909","317;261;729;1024;1080;27",""
0.015000,944854,944854,30,5,0,1,1,"157;193;600;886;1084","157:-2|0|-2|0|-2;193:0|2|0|2|0;600:0|0|0|0|0;886:-2|-2|-4|0|-2;1084:0|2|0|2|0","0|2|2|0|2","193/282/600/747/1084|841/930|99/436|193/282/600/747/1084|841/930","193;282;600;747;1084;18","193;600;1084"
0.015000,944873,944873,30,4,0,0,0,"61;507;1057;1215","61:-2|0|-2|0|-2;507:-2|0|-2|0|-2;1057:0|2|0|2|0;1215:0|2|0|2|0","0|2|2|0|2","195/770/1057/1215|843|122/409/567|195/770/1057/1215|843","",""
0.015000,945578,945578,30,8,0,0,0,"270;515;657;753;891;1001;1141;1201","270:2|0|2|0|2;515:-2|-2|-2|-2|-2;657:-2|-2|-2|-2|-2;753:0|0|0|0|0;891:-2|-2|-2|-2|-2;1001:-2|-2|-2|-2|-2;1141:0|0|0|0|0;1201:0|-2|0|-2|0","2|0|0|2|0","270/617|87/134/149/176/318/336/411/429/550/588/592/632/918/975/1265|105/493/659/735/797/824/966/984/1059/1077/1236/1240|270/617|87/134/197/281/318/429/531/550/632/918/975/1265","",""
0.015000,946038,946038,30,3,0,1,1,"379;892;1045","379:-2|0|-2|0|-2;892:0|0|0|0|0;1045:0|2|0|2|0","0|0|2|0|0","892/1045/1062/1154|143/180/189/349/499/1027|397/506|892/1045/1062/1154|189/282/349/366/593/1027","379;892;1045;1062;1154;28","379;892;1045"
0.015000,946973,946973,30,5,0,0,0,"238;281;595;716;747","238:0|2|0|2|0;281:-2|0|-2|0|-2;595:-2|-2|-2|-2|-2;716:-4|0|-2|-2|-4;747:-2|-2|-2|-2|-2","0|2|0|0|2","17/238/1121|665/886|68/473/670/737/791/871/944/946/1106/1199/1291|17/238/1121|665/886","",""
0.015000,947037,947037,30,4,0,0,0,"203;665;761;1223","203:0|0|0|0|0;665:-2|0|-2|0|-2;761:0|2|0|2|0;1223:-2|0|-2|0|-2","0|2|2|0|2","203/299/400/523/761|1171|113|203/299/400/523/761|1171","",""
0.015000,947139,947139,30,3,0,1,2,"149;217;260","149:-2|0|-2|0|-2;217:0|2|0|2|0;260:0|0|0|0|0","0|2|2|0|2","217/260/1090/1188|865|442|217/260/1090/1188|865","582;158;260;304;716;748;217;936;983","260;217"
