result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_effective,frames_ml_not_effective,ml_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.047500,0.050000,0.040000,0.000500,370,270,22,348,248,100,71.264368,1637,1637,1637
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.047000,0.050000,0.040000,0.000500,420,320,38,382,282,100,73.821990,1741,1741,1741
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.046500,0.050000,0.040000,0.000500,400,300,29,371,271,100,73.045822,1704,1704,1704
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.046000,0.050000,0.040000,0.000500,473,373,45,428,328,100,76.635514,1767,1767,1767
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.045500,0.050000,0.040000,0.000500,487,387,51,436,336,100,77.064220,1835,1835,1835
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.045000,0.050000,0.040000,0.000500,521,421,65,456,356,100,78.070175,1870,1870,1870
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.044500,0.050000,0.040000,0.000500,545,445,66,479,379,100,79.123173,1868,1868,1868
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.044000,0.050000,0.040000,0.000500,708,608,102,606,506,100,83.498350,2092,2092,2092
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.043500,0.050000,0.040000,0.000500,684,584,101,583,483,100,82.847341,2060,2060,2060
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.043000,0.050000,0.040000,0.000500,717,617,132,585,485,100,82.905983,2130,2130,2130
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.042500,0.050000,0.040000,0.000500,736,636,124,612,512,100,83.660131,2058,2058,2058
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.042000,0.050000,0.040000,0.000500,708,608,142,566,466,100,82.332155,1948,1948,1948
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.041500,0.050000,0.040000,0.000500,778,678,153,625,525,100,84.000000,2137,2137,2137
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.041000,0.050000,0.040000,0.000500,955,855,210,745,645,100,86.577181,2248,2248,2242
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.040500,0.050000,0.040000,0.000500,883,783,208,675,575,100,85.185185,2084,2084,2082
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.020000,0.020000,0.005000,0.005000,52512,52412,50720,1792,1692,100,94.419643,3039,3039,3031
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.015000,0.020000,0.005000,0.005000,299927,299827,298215,1712,1612,100,94.158879,2974,2974,2970
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.010000,0.020000,0.005000,0.005000,1922159,1922059,1921171,988,888,100,89.878543,2158,2158,2156
results/IRISC_dv3_R050_L54_N1296/ml/simulation.res,10000000,100,100,0.005000,0.005000,0.001000,0.000400,10000000,9999967,9999872,128,95,33,74.218750,483,483,483
