result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_effective,frames_ml_not_effective,ml_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000400,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,105,105,0
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.020000,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,136,136,31
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019950,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,144,144,40
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019900,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,127,127,26
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019850,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,131,131,28
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019800,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,134,134,30
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019750,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,137,137,34
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019700,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,134,134,30
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019650,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,141,141,33
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019600,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,134,134,29
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019550,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,127,127,23
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019500,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,135,135,31
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019450,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,134,134,27
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019400,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,140,140,35
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019350,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,136,136,27
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019300,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,140,140,32
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019250,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,139,139,30
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019200,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,143,143,34
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019150,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,127,127,21
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019100,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,133,133,27
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019050,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,126,126,18
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.019000,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,135,135,29
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018950,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,133,133,23
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018900,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,124,124,21
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018850,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,146,146,44
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018800,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,136,136,30
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018750,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,122,122,19
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018700,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,145,145,40
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018650,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,130,130,25
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018600,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,129,129,27
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018550,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,137,137,32
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018500,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,141,141,33
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018450,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,136,136,31
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018400,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,133,133,28
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018350,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,136,136,30
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018300,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,130,130,23
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018250,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,138,138,35
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018200,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,140,140,33
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018150,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,140,140,39
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018100,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,124,124,20
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018050,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,144,144,42
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.018000,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,139,139,28
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017950,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,133,133,29
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017900,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,141,141,34
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017850,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,129,129,23
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017800,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,139,139,34
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017750,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,137,137,32
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017700,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,134,134,33
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017650,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,141,141,32
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017600,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,127,127,24
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017550,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,135,135,31
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017500,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,135,135,29
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.017450,0.020000,0.012000,0.000050,100,0,0,100,0,100,0.000000,140,140,35
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000900,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,132,132,28
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000850,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,128,128,23
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000800,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,146,146,44
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000750,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,149,149,39
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000700,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,139,139,33
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000650,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,139,139,35
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000600,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,139,139,40
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000550,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,134,134,30
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000500,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,128,128,24
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000450,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,140,140,37
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000400,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,124,124,22
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000350,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,132,132,30
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000300,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,138,138,29
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000250,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,137,137,32
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000200,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,138,138,37
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000150,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,132,132,23
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000100,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,142,142,34
